smiles,reagent1,reagent2,reagent3,reagent4,reaction,clogp,mol_weight,chemprop_score,chemprop_rdkit_score,random_forest_score,clogp_6.5
CCN(C1=CC=C(C(=O)N2C[C@H]3[C@H](N(C)C(=O)C4=CC(C)=NC(C)=C4)[C@H]3C2)C=N1)C(C)C,22126988,2999789,2031742.0,,275592,3.170740000000001,435.572,0.002529867,0.001852871,0.030404762,0
"COCC1=NC(C(=O)NC[C@@H]2CN(C(=O)C3=CC=C([N+](=O)[O-])C=C3O)C[C@H]2C)=CS1 |&1:10,26|",24375069,2031632,79278.0,,275592,2.0414000000000003,434.474,0.029632721,0.043758419,0.0427,0
CCCCOC1=CC=C(C(=O)N[C@]2(C)C[C@@H](NC(=O)C=C3CCC3)C2)C=C1,12408116,4081,3478882.0,,275592,3.7429000000000014,370.493,0.005008527,0.018054076,0.01275,0
CN(CC1COCCN1C(=O)[C@H]1CCC(=O)NC1)C(=O)[C@H](O)C1=CC=CC=C1,6756848,2242446,17433204.0,,275592,-0.0679999999999985,389.452,0.000783021,0.002443328,0.006,0
O=C(NCC1CCCCN1C(=O)C1=CN=CC2=C1CCC2)C1=CC2=CC=C(O)N=C2S1,2036633,22791432,22987021.0,,275592,3.310300000000002,436.537,0.003069852,0.010421183,0.028142857,0
CC1CN(C(=O)C2=CC=NC=C2C(F)F)CC(C)N(C(=O)C2=CC=C(F)C=C2F)C1,26275500,3650909,1765.0,,275592,3.920200000000003,423.41,0.028710345,0.019142145,0.020983333,0
O=C(CN1C=C([N+](=O)[O-])C=N1)NCCC(O)CNC(=O)C1=CC=NC2=CC=CC=C12,11459637,36886,231105.0,,275592,0.6367,412.406,0.002152939,0.005099259,0.026333333,0
O=C(NC[C@H]1C[C@](F)(CNC(=O)C2=CC(C3=CC=C(O)C=C3)=NN2)C1)C1=CC=CC=N1,26374109,423,944411.0,,275592,2.4554,423.448,0.003503507,0.010086773,0.0575,0
CC1=CC=C(F)C=C1C(=O)NCCOC1CN(C(=O)CCC2CCOCC2)C1,11642066,41694,2809946.0,,275592,2.29812,392.471,0.001488836,0.001396524,0.0135,0
CC1=C(C)NC(C(=O)NCCN(C(=O)C2=CC=C(Br)S2)C2CCCC2)=C1,7301329,7563,3069395.0,,275592,4.270340000000004,438.391,0.003554452,0.002374789,0.0255,0
CC1(C)CN(C(=O)C2=CC=CC=[N+]2[O-])C(CNC(=O)C(C)(Cl)Cl)CO1,26606473,13737,71419.0,,275592,1.2495999999999996,390.267,0.017968811,0.008119519,0.04745,0
O=C1NC2(CCCC2)C(=O)N1CC1=CN(C2=CC=C(Br)C=C2)N=C1,8601985,48212,,,272104,2.9994000000000014,389.253,0.063442118,0.010580033,0.007,0
CN(C)C(=O)C=CC(=O)NCC1=CC=C(CNC(=O)CN2CC(C)(C)C2)C=C1,2794491,24366814,19214119.0,,275592,0.9052000000000012,386.496,0.007696241,0.005195883,0.026309524,0
CCNC1=CC=C(C(=O)N[C@H](CO)[C@H](C)NC(=O)C2CC(C)(C)OC2(C)C)C=N1,11331035,13152987,3693620.0,,275592,1.7025,406.527,0.013574512,0.002810523,0.007,0
COC1=CC=C(C(=O)N2CCN(C(=O)C(C)(C)CN(C)C)CC3CCCCC32)C(F)=N1,10908741,3590888,3739636.0,,275592,2.6603000000000003,434.556,0.007787893,0.006637574,0.0295,0
CC(F)(F)C1=CC(C(=O)N(CCNC(=O)CC2=CC=C3CCCC3=C2)C2CC2)=CC=N1,2131467,31431,22095807.0,,275592,3.645500000000003,427.495,0.011258888,0.022584841,0.02325,0
NC1=CC2=C(C=C1C(=O)N1CCC3(COC(CNC(=O)CSC4CC4)C3)C1)OCO2,4328214,15717647,38641.0,,275592,1.6304999999999998,433.53,0.000939972,0.000630768,0.045515152,0
CCCC(=O)N(C)[C@H]1[C@@H]2CN(C(=O)C3=C(C)ON=C3C3=CC=C(C)C=C3)C[C@@H]21,22126988,470,7772574.0,,275592,3.287340000000002,381.476,0.00292429,0.002820265,0.0308,0
CC1(C)CN(C(=O)C(=O)NC2=CN(CC3CCC3)N=C2)C1CO,11428224,3655195,,,2718,0.8509999999999991,320.393,0.036233817,0.006866288,0.003,0
CC1=C(C)N(CCC(=O)N[C@H]2C[C@@H](CNC(=O)C34CCCC(C)(C3)OC4)C2)C(=O)S1,22693246,26303106,3091827.0,,275592,2.2770399999999995,435.59,0.000511588,0.001200943,0.004733333,0
CC1=CC=CN2C=C(C(=O)N3CCN(C(=O)C4CC5=NC=CN=C5C4)CC3)C=C12,42394,3745287,10934284.0,,275592,1.737119999999999,389.459,0.017056124,0.009943449,0.027125,0
"O=C(C[C@H]1COC(=O)N1)N[C@@H]1C[C@@H]2C[C@H](NC(=O)CCC3=CC(F)=CC=C3)[C@H]1C2 |&1:10,12,14,27|",27274775,40808,3451496.0,,275592,1.6562999999999997,403.454,0.002479796,0.001511452,0.017852381,0
CC(C)CC(C)(C)C(=O)N1CCCN(C(=O)C2CCN(C(C)C)CC2)CC1,2809763,7458754,2797938.0,,275592,3.240000000000002,379.589,0.002692341,0.00134545,0.04117619,0
CC(C)C1=NC=CN1CC(=O)NCCN(C(=O)C1=CC=CO1)C1CCCC1,7301329,490,3569646.0,,275592,2.800700000000001,372.469,0.005582851,0.00270186,0.021166667,0
CN1C(C(=O)N2C[C@H]3C[C@@]3(CNC(=O)C3=CC=CS3)C2)=CC2=CC(Cl)=CC=C21,11250032,1713,4278616.0,,275592,3.785300000000002,413.93,0.004590212,0.004012476,0.0575,0
CC1=CC=C2C(O)=C(C(=O)N3CCN(C(=O)C4=C(C#N)N=CN4)C(C)C3C)C=NC2=C1C,8142948,2239768,27002651.0,,275592,2.5272200000000007,432.484,0.005274994,0.002264452,0.030666667,0
"COC1=CC(C)=CC(C(=O)N2C[C@@H]3C[C@H]2[C@@H]3CNC(=O)CN2CCOCC2=O)=C1O |&1:12,14,15|",26735157,3612043,2340464.0,,275592,0.1447200000000013,417.462,0.004005616,0.002701106,0.040666667,0
CCCCSC(C)C(=O)N[C@H](C)[C@@H](CO)NC(=O)C1=C(Cl)C(Cl)=CN=C1,26382082,2016324,83185.0,,275592,2.9056000000000006,422.378,0.033967291,0.027583095,0.0455,0
CC(C)C[C@H](O)C(=O)N1CCN(C(=O)C2=CC=C3N=CC=NC3=N2)C(C2=CC=NN2C)C1,26101899,3005267,3478385.0,,275592,1.1909999999999996,437.504,0.008742539,0.026900999,0.02025,0
CC#CCCC(=O)NC1C(C)(C)C(NC(=O)C(=O)NCC)C1(C)C,24645655,4566477,3478402.0,,275592,0.9616000000000008,335.448,0.028977704,0.002400186,0.036266667,0
CN(CCO)CCC(=O)NC(C)(C)CN(C)C(=O)C1=CC=C(C(N)=O)N1,7892298,21562919,8329660.0,,275592,-0.6053999999999966,367.45,0.001446036,0.001741061,0.0076,0
C#CC1=CC(C(=O)NCCCCCCNC(=O)CC(C)C(C)(C)C)=CN=C1,57206,3525628,2755462.0,,275592,3.5416000000000025,371.525,0.003348114,0.021720534,0.058566667,0
CC(=O)C1=CC=CC=C1C(=O)NCC1CCN1C(=O)C1(O)CCSCC1,1814213,3735936,41944.0,,275592,1.4779999999999998,376.478,0.000836959,0.001668377,0.021,0
CSCC1=CC=CN=C1C(=O)N1CC[C@H](NC(=O)C2=CC=C(N3C=CC(C)=C3)C=C2)C1,2017706,5786999,26608678.0,,275592,3.688220000000002,434.565,0.017787565,0.012377274,0.038,0
O=C(C1=NC=NC(O)=C1)N1C[C@@H]2CN(C(=O)C3=C(C4CCCC4)NC=C3)C[C@@H]2C1,6955654,16560073,2014112.0,,275592,2.0121,395.463,0.008223487,0.000945477,0.022816667,0
CCN1C=C(C(=O)NCC(NC(=O)COC2=CC(Cl)=CC=C2)C2CCOC2)C(C)=N1,4883027,3568842,15820.0,,275592,2.19492,434.924,0.002817858,0.002939326,0.006,0
CCC(CC)C(=O)NCCC1CC(NC(=O)C2=CC3=C(CCCC3)N=C2N)C1,24350054,2043,3568825.0,,275592,2.9935,386.54,0.008071635,0.035162091,0.02325,0
CCN(CCNC(=O)C(CC(C)C)NC(=O)NC1CC1)C(=O)C1=CN=C2CCCC2=C1,3017587,3019302,7937450.0,,275592,2.0249000000000006,429.565,0.002101623,0.003711694,0.005571429,0
CC1=CC(Cl)=C(C(=O)N2CC[C@@H](C)[C@@H](N(C)C(=O)C(C)CC(F)F)C2)C=C1C,8296750,3102824,3071848.0,,275592,4.557140000000005,414.924,0.00551437,0.017883718,0.0554,0
CCC(C)=C(C)C(=O)N1C2CCC1CN(C(=O)C1=CC=C3OCCN(C)C3=C1)C2,2015099,3479631,24223827.0,,275592,3.0770000000000017,397.519,0.004751273,0.001145693,0.017133333,0
CC(C)C1=NC=CN1CCC(=O)N[C@H]1C[C@](F)(CNC(=O)C2=CC=CN2C(C)C)C1,26360099,2809811,1030065.0,,275592,3.1959000000000017,417.529,0.004104847,0.004823919,0.044666667,0
C#CCCN(C)CC(=O)N[C@@H]1C=C[C@H](CNC(=O)C2CCC(O)CC2)C1,26559073,82407,26587683.0,,275592,0.6697000000000009,361.486,0.001401961,0.002880519,0.0206,0
CC1=NN(CC(=O)NC(C)(C)CCNC(=O)C2=CN=C3CCCCCN23)C=C1[N+](=O)[O-],8852990,3001281,24049988.0,,275592,1.7375199999999993,431.497,0.00182027,0.004638785,0.024319048,0
CCC1=C(C)C=C(C(=O)N2CCC[C@H](CNC(=O)[C@@H]3C[C@H]4CCC[C@H](C4)C3)C2)S1,2796210,3588236,13050.0,,275592,4.803720000000005,416.631,0.002717032,0.003841506,0.051333333,0
COC1=NN(C)C=C1C(=O)NCC12CCCCC1N(C(=O)C1=CC3=CC=CC=C3N1)CC2,24742391,3100387,15258.0,,275592,3.1149000000000004,435.528,0.004700142,0.009924063,0.02885,0
COC(=O)C12CCC(C(=O)NC[C@H](CO)NC(=O)CC3=CC=C(F)C=C3C)(CC1)CC2,26608668,2242008,10990900.0,,275592,1.7835199999999998,434.508,0.003220605,0.017222402,0.006997727,0
CCC(F)(F)CC(=O)NCC1CN(C(=O)C2CCC(C)(C)O2)CCCO1,17406659,23023881,11429350.0,,275592,2.1130999999999998,376.444,0.000405663,0.000267879,0.01825,0
CC(CCNC(=O)CC1=CC=C(F)C=C1F)NC(=O)C1=NN2C(=C1)CCCC2C,3007493,26365191,85502.0,,275592,2.9259000000000013,404.461,0.065656854,0.007278909,0.010166667,0
COC(=O)C1=C(COCC(=O)N2CCC(CC3=CC=CC=C3F)CC2)OC=N1,8397423,22813328,,,527,2.5982000000000003,390.411,0.089898621,0.01625653,0.013,0
CC1=CC(C2=NC(C(=O)NC3CC4(CCN(C(=O)C5=CC=CN5C)CC4)C3)=CO2)=CC=N1,2112465,6819787,7928.0,,275592,3.1983200000000016,433.512,0.004606077,0.007951933,0.046833333,0
CCCOC1=CC=C(C(=O)N2CCC(N(C)C(=O)C(C#N)CC)CC2)C(OC)=C1,11281180,4587995,7902047.0,,275592,3.0967800000000016,401.507,0.000818595,0.003886506,0.015666667,0
CC1=CC(C(=O)N2[C@H](CNC(=O)C[C@@H](O)C3=CC=CC=C3)C[C@@H]3CCC[C@@H]32)=CC(=O)N1C,25978212,3771265,2243071.0,,275592,2.31682,437.54,0.001096815,0.005051844,0.013785714,0
CC1=CN(C2=CC=CC(C(=O)NC3CN(C(=O)CC4CSC4)CC34CCC4)=C2)N=C1,9308868,7942037,17435199.0,,275592,3.0447200000000016,424.57,0.011870301,0.005209538,0.0356,0
CC1=NOC(C2=CC=CC=C2C(=O)N2CCCN(C(=O)CP(C)(C)=O)C(C)C2)=N1,22693597,2800897,3479064.0,,275592,2.7307200000000007,418.434,0.000816051,0.002715584,0.01,0
"COC1=CC=C(Cl)C=C1C(=O)N[C@]12C[C@H]1CN(C(=O)CCC1=CC=C(C)C(C)=C1)C2 |&1:12,14|",22813004,3727775,8187.0,,275592,3.928940000000003,426.944,0.002789201,0.015120208,0.022575,0
O=C(C=CC1=CN=CS1)NC1CCCCN(C(=O)C2(F)CCS(=O)(=O)C2)C1,8960035,22407166,23976280.0,,275592,1.1804,415.512,0.001742162,0.006952568,0.069333333,0
CON1CCC(CC(=O)N2CC(O)CC(NC(=O)C3SCCCS3)C2)CC1,11471384,22132453,3008283.0,,275592,0.9241000000000004,417.597,0.006733683,0.002007068,0.076966667,0
C[C@@H]1CN(C(=O)C2=CN=C3NN=CC3=C2)CCN1C(=O)C1=CC(C)(C)C1,2792726,3039904,3479183.0,,275592,1.9871,353.426,0.006863976,0.006036058,0.011,0
CC(CCCNC(=O)C1=CC(C(C)(C)C)=CC=N1)NC(=O)C1=CN(CCO)C(=O)C=C1,11604875,6157188,8862381.0,,275592,1.8616,428.533,0.011818143,0.017022,0.012666667,0
CCC(=O)N(CC1=CC=CC=C1)C1CCN(C(=O)C2(OC)CCSC2)CC1,3563827,738,15201398.0,,275592,2.9383000000000017,390.549,0.006392393,0.019656063,0.035133333,0
"CN(C(=O)C1=CSC2=C1CCCC2)[C@@H]1C[C@H]2C[C@@H]1N(C(=O)C1=CC(C3CCC3)=NO1)C2 |&1:13,15,17|",27209458,12398,13271169.0,,275592,4.257600000000004,439.581,0.00300217,0.005603301,0.032742857,0
CC(O)CCCCCC(=O)NC(CNC(=O)C=C1CCCCC1(C)C)C1CCCCC1,2807283,3084175,24077818.0,,275592,5.025600000000004,434.665,0.004096849,0.127877183,0.063266667,0
