smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles
CCCCCCCCCCN(CCC1CC1)CC1CC1,114915,1,195,0.521254351735115,0.521254351735115,1,2230,23691524,C(CC1CC1)NCC1CC1,607,CCCCCCCCCCBr
CC(F)(F)CCCN(CCCCCCCCCC1CC1)CCCC(C)(F)F,114644,1,6,0.519473797082901,0.519473797082901,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,24674011,BrCCCCCCCCCC1CC1
CC(F)(F)CCCN(CCCCC1CC1)CCCC(C)(F)F,114697,1,43,0.5078655034303665,0.5078655034303665,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,3699665,BrCCCCC1CC1
C(CC1CC1)CN(CCC1CC1)CC1CC1,114815,1,127,0.5061165958642959,0.5061165958642959,1,2230,23691524,C(CC1CC1)NCC1CC1,26400668,ICCCC1CC1
O=C(OCCCCCCCCCC1CC1)c1cc(C2CC2)[nH]c1C1CC1,114727,1,68,0.5058044552803039,0.5058044552803039,1,1458,24223646,O=C(O)c1cc(C2CC2)[nH]c1C1CC1,24674011,BrCCCCCCCCCC1CC1
CC(F)(F)CCCN(CCCC1CC1)CCCC(C)(F)F,114642,2,4,0.5054815471172333,0.5054815471172333,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,26400668,ICCCC1CC1
CC(F)(F)CCCN(CCCC(C)(F)F)CCCC1(C)CC1,114649,1,10,0.5039226859807968,0.5039226859807968,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,24665895,CC1(CCCBr)CC1
CC1CC1CCCN(CCC1CC1)CC1CC1,114685,1,35,0.5037796020507812,0.5037796020507812,1,2230,23691524,C(CC1CC1)NCC1CC1,26251298,CC1CC1CCCBr
CC(F)(F)CCCN(CCCCC1(C#N)CCC1)CCCC(C)(F)F,114806,1,123,0.502491506934166,0.502491506934166,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,24562304,N#CC1(CCCCCl)CCC1
CC1(CCN(CCC2CC2)CC2CC2)CC1,114665,1,26,0.5021835178136825,0.5021835178136825,1,2230,23691524,C(CC1CC1)NCC1CC1,24677571,CC1(CCBr)CC1
C1CC1CCN(CCC1CC1C1CC1)CC1CC1,114742,1,80,0.5014714241027832,0.5014714241027832,1,2230,23691524,C(CC1CC1)NCC1CC1,24534734,BrCCC1CC1C1CC1
COCCC1(CN(CCCC(C)(F)F)CCCC(C)(F)F)CC1,114683,1,34,0.5005802065134048,0.5005802065134048,1,2230,26309275,CC(F)(F)CCCNCCCC(C)(F)F,10551125,COCCC1(CCl)CC1
